ダウンロードした時刻：2024/01/3019:23:05

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄
2022/1/8,4.5,8,1,0,1,8,1,快晴,8,1,9.5,8,1,-0.2,8,1,1,0,8,1,-3.2,8,1,1.0,0,8,1,曇時々晴後雪,8,1,0.2,8,1,-8.9,8,1,43,0,8,1,5.7,8,1,0,1,8,1,晴,8,1,10.5,8,1,1.4,8,1,0,1,8,1,2.0,8,1,0.0,8,1,,0,1,10.8,8,1,-4.2,8,1,0,8,1,19.0,8,1,0,1,8,1,晴時々曇,8,1,21.5,8,1,16.4,8,1,0,1,8,1
2022/1/9,6.3,8,1,0,1,8,1,晴後薄曇,8,1,13.4,8,1,-0.5,8,1,0,1,8,1,-1.6,8,1,4.0,0,8,1,雪時々晴,8,1,1.7,8,1,-5.3,8,1,47,0,8,1,7.0,8,1,0,1,8,1,薄曇一時晴,8,1,12.2,8,1,1.7,8,1,0,1,8,1,3.6,8,1,0.0,8,1,,0,1,10.9,8,1,-3.1,8,1,0,8,1,18.7,8,1,0,1,8,1,晴一時曇,8,1,22.3,8,1,15.3,8,1,0,1,8,1
2022/1/10,7.7,8,1,0.0,0,8,1,曇一時晴,8,1,9.6,8,1,6.1,8,1,0,1,8,1,-3.8,8,1,0.0,0,8,1,晴後曇一時雪,8,1,-0.1,8,1,-9.2,8,1,47,0,8,1,9.0,8,1,0,1,8,1,晴,8,1,13.6,8,1,4.6,8,1,0,1,8,1,3.1,8,1,0.0,8,1,,0,1,12.4,8,1,-3.5,8,1,0,8,1,19.5,8,1,0.0,0,8,1,晴後曇,8,1,22.5,8,1,17.5,8,1,0,1,8,1
2022/1/11,5.7,8,1,16.0,0,8,1,雨一時曇,8,1,7.2,8,1,4.3,8,1,0,1,8,1,-1.3,8,1,25.0,0,8,1,曇後雪、みぞれを伴う,8,1,1.7,8,1,-5.9,8,1,51,0,8,1,6.4,8,1,7.5,0,8,1,雨後時々晴,8,1,8.3,8,1,4.2,8,1,0,1,8,1,2.5,8,1,23.5,8,1,,0,1,7.8,8,1,-0.8,8,1,0,8,1,16.0,8,1,11.0,0,8,1,雨後曇,8,1,19.5,8,1,13.4,8,1,0,1,8,1
2022/1/12,5.0,8,1,0,1,8,1,快晴,8,1,8.6,8,1,2.4,8,1,0,1,8,1,1.0,8,1,22.5,0,8,1,雪時々曇,8,1,2.5,8,1,-0.1,8,1,68,0,8,1,4.3,8,1,0.0,0,8,1,曇一時晴後時々雪,8,1,6.5,8,1,2.8,8,1,0,1,8,1,0.3,8,1,0.0,8,1,,0,1,3.4,8,1,-1.6,8,1,0,8,1,14.7,8,1,0.0,0,8,1,曇一時雨,8,1,16.2,8,1,13.3,8,1,0,1,8,1
2022/1/13,5.7,8,1,0,1,8,1,晴時々曇,8,1,11.5,8,1,2.3,8,1,0,1,8,1,0.4,8,1,17.5,0,8,1,雪時々曇,8,1,1.7,8,1,-1.0,8,1,72,0,8,1,4.6,8,1,0.0,0,8,1,晴,8,1,8.1,8,1,1.5,8,1,0,1,8,1,1.2,8,1,1.5,8,1,,0,1,3.2,8,1,-0.7,8,1,0,8,1,14.7,8,1,0.5,0,8,1,曇時々雨,8,1,15.7,8,1,13.3,8,1,0,1,8,1
2022/1/14,4.4,8,1,0,1,8,1,快晴,8,1,8.6,8,1,0.7,8,1,0,1,8,1,-0.2,8,1,16.0,0,8,1,雪、あられを伴う,8,1,0.7,8,1,-1.1,8,1,76,0,8,1,3.6,8,1,0.0,0,8,1,晴後時々曇,8,1,6.6,8,1,1.0,8,1,0,1,8,1,0.0,8,1,0.0,8,1,,0,1,4.6,8,1,-3.2,8,1,0,8,1,15.0,8,1,0.0,0,8,1,曇後晴,8,1,16.9,8,1,12.5,8,1,0,1,8,1
2022/1/15,5.5,8,1,0,1,8,1,薄曇,8,1,10.5,8,1,-0.2,8,1,0,1,8,1,0.9,8,1,12.5,0,8,1,雪後一時あられ,8,1,2.3,8,1,-0.2,8,1,79,0,8,1,5.9,8,1,0,1,8,1,曇後晴,8,1,9.6,8,1,2.6,8,1,0,1,8,1,1.2,8,1,0.0,8,1,,0,1,8.8,8,1,-4.2,8,1,0,8,1,15.9,8,1,0.0,0,8,1,曇時々晴,8,1,19.1,8,1,11.7,8,1,0,1,8,1
2022/1/16,5.4,8,1,0,1,8,1,快晴,8,1,11.1,8,1,0.3,8,1,0,1,8,1,0.0,8,1,0.5,0,8,1,曇後時々雪,8,1,2.2,8,1,-2.6,8,1,78,0,8,1,6.5,8,1,0.0,0,8,1,晴時々曇,8,1,11.0,8,1,0.5,8,1,0,1,8,1,3.6,8,1,0.0,8,1,,0,1,9.7,8,1,-2.1,8,1,0,8,1,18.1,8,1,0.0,0,8,1,曇一時晴,8,1,20.9,8,1,16.1,8,1,0,1,8,1
2022/1/17,6.0,8,1,0.0,0,8,1,薄曇時々晴,8,1,11.8,8,1,1.4,8,1,0,1,8,1,-0.1,8,1,3.5,0,8,1,晴一時雪,8,1,2.8,8,1,-3.8,8,1,79,0,8,1,7.5,8,1,0,1,8,1,曇時々晴,8,1,9.6,8,1,4.4,8,1,0,1,8,1,3.7,8,1,0.0,8,1,,0,1,6.8,8,1,1.5,8,1,0,8,1,15.8,8,1,5.5,0,8,1,曇時々雨,8,1,16.9,8,1,14.4,8,1,0,1,8,1
2022/1/18,4.4,8,1,0,1,8,1,快晴,8,1,8.7,8,1,1.6,8,1,0,1,8,1,-2.9,8,1,1.0,0,8,1,晴後曇時々雪,8,1,0.2,8,1,-8.1,8,1,75,0,8,1,3.9,8,1,0.0,0,8,1,晴時々曇一時みぞれ,8,1,6.0,8,1,2.5,8,1,0,1,8,1,2.2,8,1,0.0,8,1,,0,1,6.3,8,1,-4.4,8,1,0,8,1,16.2,8,1,1.0,0,8,1,曇一時雨,8,1,17.7,8,1,14.6,8,1,0,1,8,1
2022/1/19,3.7,8,1,0,1,8,1,晴時々曇,8,1,8.1,8,1,0.6,8,1,0,1,8,1,-2.8,8,1,0,1,8,1,晴,8,1,0.8,8,1,-6.9,8,1,73,0,8,1,4.4,8,1,0.0,0,8,1,晴時々曇一時みぞれ,8,1,7.9,8,1,0.9,8,1,0,1,8,1,-0.8,8,1,0.0,8,1,,0,1,6.0,8,1,-7.7,8,1,0,8,1,15.9,8,1,1.0,0,8,1,曇一時雨,8,1,17.5,8,1,14.0,8,1,0,1,8,1
2022/1/20,3.4,8,1,0,1,8,1,快晴,8,1,8.4,8,1,-1.0,8,1,0,1,8,1,-5.2,8,1,0,1,8,1,薄曇時々晴,8,1,-1.5,8,1,-8.2,8,1,70,0,8,1,4.4,8,1,0.0,0,8,1,晴,8,1,7.7,8,1,1.6,8,1,0,1,8,1,2.6,8,1,0.0,8,1,,0,1,6.1,8,1,-1.6,8,1,0,8,1,15.9,8,1,0,1,8,1,晴,8,1,18.5,8,1,12.7,8,1,0,1,8,1
2022/1/21,3.0,8,1,0,1,8,1,晴,8,1,7.8,8,1,-0.9,8,1,0,1,8,1,-3.8,8,1,3.0,0,8,1,雪一時曇,8,1,-0.2,8,1,-10.2,8,1,71,0,8,1,3.4,8,1,0.0,0,8,1,晴後曇時々雪,8,1,6.8,8,1,1.0,8,1,0,1,8,1,0.7,8,1,0.0,8,1,,0,1,7.4,8,1,-5.6,8,1,0,8,1,16.5,8,1,0,1,8,1,晴後曇,8,1,19.4,8,1,13.3,8,1,0,1,8,1
2022/1/22,4.5,8,1,0,1,8,1,快晴,8,1,9.9,8,1,-0.1,8,1,0,1,8,1,-3.2,8,1,14.0,0,8,1,大雪,8,1,-2.2,8,1,-4.3,8,1,96,0,8,1,5.1,8,1,0,1,8,1,曇後晴,8,1,9.0,8,1,3.2,8,1,0,1,8,1,3.3,8,1,0.5,8,1,,0,1,8.8,8,1,-3.2,8,1,0,8,1,18.6,8,1,0.5,0,8,1,曇一時晴,8,1,20.6,8,1,15.3,8,1,0,1,8,1
2022/1/23,5.1,8,1,0.0,0,8,1,曇,8,1,7.7,8,1,1.6,8,1,0,1,8,1,-3.7,8,1,0.0,0,8,1,晴後一時曇,8,1,0.1,8,1,-9.3,8,1,93,0,8,1,3.6,8,1,12.5,0,8,1,曇後雨,8,1,5.3,8,1,1.9,8,1,0,1,8,1,7.0,8,1,39.5,8,1,,0,1,8.8,8,1,5.2,8,1,0,8,1,20.6,8,1,46.0,0,8,1,雨後曇,8,1,22.9,8,1,17.3,8,1,0,1,8,1
2022/1/24,6.4,8,1,0.0,0,8,1,曇一時晴,8,1,11.0,8,1,1.4,8,1,0,1,8,1,-3.3,8,1,0.5,0,8,1,曇時々雪,8,1,-0.8,8,1,-6.9,8,1,84,0,8,1,6.1,8,1,0.0,0,8,1,曇一時雨後晴,8,1,10.3,8,1,3.8,8,1,0,1,8,1,6.4,8,1,2.0,8,1,,0,1,9.7,8,1,4.2,8,1,0,8,1,21.1,8,1,1.5,0,8,1,曇時々晴,8,1,23.0,8,1,19.4,8,1,0,1,8,1
2022/1/25,5.2,8,1,0.0,0,8,1,晴後曇,8,1,9.6,8,1,0.3,8,1,0,1,8,1,-3.3,8,1,4.0,0,8,1,雪後晴,8,1,-0.9,8,1,-5.3,8,1,90,0,8,1,5.0,8,1,0,1,8,1,曇時々晴,8,1,8.6,8,1,0.5,8,1,0,1,8,1,4.8,8,1,0.0,8,1,,0,1,10.5,8,1,0.0,8,1,0,8,1,19.2,8,1,0.0,0,8,1,晴一時曇,8,1,21.7,8,1,17.2,8,1,0,1,8,1
2022/1/26,5.5,8,1,0.0,0,8,1,曇後晴,8,1,9.5,8,1,3.7,8,1,0,1,8,1,-0.6,8,1,0.0,0,8,1,曇一時雪,8,1,2.2,8,1,-3.5,8,1,82,0,8,1,7.0,8,1,0.0,0,8,1,晴後一時曇,8,1,11.4,8,1,1.5,8,1,0,1,8,1,5.0,8,1,0.0,8,1,,0,1,11.3,8,1,0.0,8,1,0,8,1,19.0,8,1,0,1,8,1,晴後時々曇,8,1,21.9,8,1,16.0,8,1,0,1,8,1
2022/1/27,6.8,8,1,0,1,8,1,薄曇後時々晴,8,1,11.9,8,1,2.0,8,1,0,1,8,1,-1.3,8,1,2.0,0,8,1,曇時々晴一時雪,8,1,1.6,8,1,-4.3,8,1,83,0,8,1,7.7,8,1,0.0,0,8,1,晴時々曇,8,1,11.2,8,1,4.5,8,1,0,1,8,1,4.1,8,1,0.0,8,1,,0,1,9.5,8,1,-0.5,8,1,0,8,1,20.5,8,1,2.0,0,8,1,晴後曇,8,1,23.3,8,1,16.5,8,1,0,1,8,1
2022/1/28,6.6,8,1,0,1,8,1,曇時々晴,8,1,11.8,8,1,4.1,8,1,0,1,8,1,-3.8,8,1,3.5,0,8,1,晴後一時雪,8,1,0.2,8,1,-7.8,8,1,89,0,8,1,6.3,8,1,0,1,8,1,晴後曇,8,1,11.2,8,1,2.0,8,1,0,1,8,1,3.2,8,1,0.0,8,1,,0,1,10.5,8,1,-2.6,8,1,0,8,1,19.5,8,1,0,1,8,1,晴後曇,8,1,22.6,8,1,17.2,8,1,0,1,8,1
2022/1/29,5.9,8,1,0,1,8,1,曇後時々晴,8,1,10.0,8,1,3.7,8,1,0,1,8,1,-5.5,8,1,2.0,0,8,1,雪時々晴,8,1,-3.9,8,1,-7.9,8,1,86,0,8,1,6.4,8,1,0,1,8,1,曇後一時晴,8,1,9.9,8,1,3.2,8,1,0,1,8,1,3.6,8,1,0.0,8,1,,0,1,8.4,8,1,0.2,8,1,0,8,1,18.0,8,1,27.0,0,8,1,雨一時曇,8,1,18.9,8,1,17.0,8,1,0,1,8,1
2022/1/30,5.2,8,1,0,1,8,1,曇,8,1,8.2,8,1,2.2,8,1,0,1,8,1,-7.3,8,1,1.0,0,8,1,晴一時雪,8,1,-4.9,8,1,-8.9,8,1,85,0,8,1,6.6,8,1,0.0,0,8,1,曇一時晴,8,1,10.0,8,1,4.5,8,1,0,1,8,1,4.0,8,1,0.0,8,1,,0,1,7.4,8,1,1.6,8,1,0,8,1,17.3,8,1,5.0,0,8,1,曇後一時雨,8,1,20.3,8,1,15.6,8,1,0,1,8,1
2022/1/31,4.9,8,1,0,1,8,1,快晴,8,1,10.0,8,1,1.5,8,1,0,1,8,1,-7.8,8,1,12.5,0,8,1,雪,8,1,-5.9,8,1,-9.2,8,1,99,0,8,1,5.3,8,1,0,1,8,1,晴時々曇,8,1,9.7,8,1,1.9,8,1,0,1,8,1,2.9,8,1,0.0,8,1,,0,1,7.9,8,1,-2.5,8,1,0,8,1,15.4,8,1,0,1,8,1,曇後晴,8,1,17.5,8,1,13.8,8,1,0,1,8,1
2022/2/1,5.6,8,1,0,1,8,1,晴,8,1,11.2,8,1,1.1,8,1,0,1,8,1,-3.6,8,1,0.5,0,8,1,晴後時々雪,8,1,-0.6,8,1,-8.7,8,1,97,0,8,1,5.9,8,1,0.0,0,8,1,晴後時々雨,8,1,11.0,8,1,1.2,8,1,0,1,8,1,2.0,8,1,0.0,8,1,,0,1,7.5,8,1,-3.5,8,1,0,8,1,17.3,8,1,0,1,8,1,曇時々晴,8,1,20.4,8,1,14.0,8,1,0,1,8,1
2022/2/2,5.5,8,1,0,1,8,1,晴,8,1,11.1,8,1,0.9,8,1,0,1,8,1,-2.4,8,1,1.0,0,8,1,晴時々雪,8,1,0.5,8,1,-5.0,8,1,89,0,8,1,6.2,8,1,0,1,8,1,晴,8,1,9.5,8,1,2.5,8,1,0,1,8,1,0.4,8,1,0.0,8,1,,0,1,5.3,8,1,-4.8,8,1,0,8,1,18.2,8,1,12.5,0,8,1,曇時々雨,8,1,20.5,8,1,16.0,8,1,0,1,8,1
2022/2/3,5.8,8,1,0,1,8,1,晴時々薄曇,8,1,11.8,8,1,0.6,8,1,0,1,8,1,-3.5,8,1,0.0,0,8,1,晴一時雪,8,1,0.9,8,1,-6.4,8,1,85,0,8,1,6.7,8,1,0,1,8,1,曇一時晴,8,1,9.7,8,1,4.7,8,1,0,1,8,1,3.1,8,1,0.0,8,1,,0,1,6.5,8,1,0.2,8,1,0,8,1,18.8,8,1,45.5,0,8,1,大雨時々曇後一時晴,8,1,22.4,8,1,17.1,8,1,0,1,8,1
2022/2/4,4.9,8,1,0,1,8,1,曇,8,1,8.5,8,1,2.4,8,1,0,1,8,1,-4.2,8,1,0.0,0,8,1,晴時々曇,8,1,-0.4,8,1,-6.8,8,1,82,0,8,1,5.5,8,1,0,1,8,1,晴,8,1,9.5,8,1,2.0,8,1,0,1,8,1,3.1,8,1,0.0,8,1,,0,1,6.5,8,1,0.6,8,1,0,8,1,16.6,8,1,2.5,0,8,1,曇一時雨,8,1,18.1,8,1,15.3,8,1,0,1,8,1
2022/2/5,3.5,8,1,0,1,8,1,晴一時曇,8,1,9.2,8,1,0.3,8,1,0,1,8,1,-4.9,8,1,17.5,0,8,1,晴後雪,8,1,-1.6,8,1,-9.4,8,1,106,0,8,1,3.9,8,1,0,1,8,1,晴時々曇,8,1,6.5,8,1,1.7,8,1,0,1,8,1,0.4,8,1,0.0,8,1,,0,1,2.7,8,1,-1.3,8,1,0,8,1,15.6,8,1,0.0,0,8,1,晴一時曇,8,1,17.5,8,1,14.8,8,1,0,1,8,1
2022/2/6,2.3,8,1,0,1,8,1,晴時々曇,8,1,8.2,8,1,-1.9,8,1,0,1,8,1,-4.1,8,1,22.0,0,8,1,大雪後一時晴,8,1,-1.2,8,1,-8.2,8,1,133,0,8,1,3.3,8,1,0.0,0,8,1,晴,8,1,7.2,8,1,0.9,8,1,0,1,8,1,0.1,8,1,0.0,8,1,,0,1,2.9,8,1,-1.5,8,1,0,8,1,15.2,8,1,0,1,8,1,晴後一時曇,8,1,17.2,8,1,14.0,8,1,0,1,8,1
2022/2/7,4.5,8,1,0,1,8,1,晴,8,1,9.7,8,1,-0.5,8,1,0,1,8,1,-2.6,8,1,0.0,0,8,1,晴,8,1,0.9,8,1,-7.1,8,1,122,0,8,1,4.4,8,1,0,1,8,1,晴,8,1,8.4,8,1,0.2,8,1,0,1,8,1,1.6,8,1,0.0,8,1,,0,1,6.1,8,1,-2.6,8,1,0,8,1,17.7,8,1,0,1,8,1,曇後時々晴,8,1,20.6,8,1,14.8,8,1,0,1,8,1
2022/2/8,5.3,8,1,0,1,8,1,曇後晴,8,1,9.1,8,1,2.2,8,1,0,1,8,1,-3.9,8,1,0.0,0,8,1,晴時々雪,8,1,-0.7,8,1,-8.2,8,1,112,0,8,1,5.7,8,1,0.0,0,8,1,曇後一時雨,8,1,10.3,8,1,3.5,8,1,0,1,8,1,1.8,8,1,1.5,8,1,,0,1,5.6,8,1,-1.6,8,1,0,8,1,19.7,8,1,8.0,0,8,1,晴時々曇,8,1,21.3,8,1,18.0,8,1,0,1,8,1
2022/2/9,6.2,8,1,0,1,8,1,晴時々薄曇,8,1,10.8,8,1,1.8,8,1,0,1,8,1,-2.7,8,1,1.0,0,8,1,雪時々晴一時曇,8,1,0.1,8,1,-5.6,8,1,106,0,8,1,6.2,8,1,0,1,8,1,晴後薄曇,8,1,11.4,8,1,2.9,8,1,0,1,8,1,4.3,8,1,0.5,8,1,,0,1,11.1,8,1,-3.1,8,1,0,8,1,18.7,8,1,0.0,0,8,1,曇時々晴,8,1,21.8,8,1,16.1,8,1,0,1,8,1
2022/2/10,2.3,8,1,27.0,0,8,1,みぞれ一時雨後一時雪,8,1,6.1,8,1,0.6,8,1,2,0,8,1,-4.3,8,1,0,1,8,1,晴,8,1,0.0,8,1,-8.5,8,1,102,0,8,1,6.1,8,1,0.0,0,8,1,曇時々雨後晴,8,1,7.8,8,1,4.5,8,1,0,1,8,1,5.1,8,1,2.0,8,1,,0,1,9.1,8,1,2.9,8,1,0,8,1,17.3,8,1,1.0,0,8,1,曇一時雨,8,1,19.1,8,1,16.0,8,1,0,1,8,1
2022/2/11,4.1,8,1,2.5,0,8,1,晴一時曇,8,1,9.2,8,1,0.7,8,1,2,0,8,1,-3.2,8,1,0.0,0,8,1,晴,8,1,0.5,8,1,-8.5,8,1,98,0,8,1,6.9,8,1,0,1,8,1,晴,8,1,11.9,8,1,1.9,8,1,0,1,8,1,4.1,8,1,0.0,8,1,,0,1,10.2,8,1,-2.8,8,1,0,8,1,17.9,8,1,0,1,8,1,晴,8,1,20.8,8,1,14.8,8,1,0,1,8,1
