ダウンロードした時刻：2024/01/3023:37:52

,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2020/1/7,-0.9,8,1,1.5,0,8,1,曇,8,1,1.0,8,1,-5.1,8,1,8,0,8,1,6.7,8,1,2.0,0,8,1,雨時々曇,8,1,8.7,8,1,5.4,8,1,0,1,8,1,14.0,8,1,0.0,8,1,,0,1,19.2,8,1,9.7,8,1,0,8,1,21.9,8,1,0,1,8,1,晴時々薄曇,8,1,24.4,8,1,19.1,8,1,0,1,8,1,5.7,8,1,2.0,0,8,1,曇後雨,8,1,8.2,8,1,3.9,8,1,0,1,8,1
2020/1/8,-2.7,8,1,2.0,0,8,1,曇後雪,8,1,1.6,8,1,-5.4,8,1,9,0,8,1,11.9,8,1,17.0,0,8,1,晴一時雨後時々曇,8,1,16.5,8,1,8.5,8,1,0,1,8,1,9.6,8,1,45.0,8,1,,0,1,17.9,8,1,4.8,8,1,0,8,1,19.4,8,1,0.0,0,8,1,曇時々晴一時雨,8,1,22.9,8,1,16.7,8,1,0,1,8,1,5.2,8,1,11.5,0,8,1,曇一時雨,8,1,7.6,8,1,3.8,8,1,0,1,8,1
2020/1/9,-1.6,8,1,0,1,8,1,晴後曇,8,1,1.4,8,1,-4.9,8,1,9,0,8,1,10.9,8,1,0.0,0,8,1,晴一時曇,8,1,13.4,8,1,8.8,8,1,0,1,8,1,7.2,8,1,0.0,8,1,,0,1,10.2,8,1,5.2,8,1,0,8,1,17.7,8,1,0,1,8,1,曇後一時晴,8,1,18.9,8,1,16.8,8,1,0,1,8,1,10.6,8,1,0.0,0,8,1,晴後一時曇,8,1,14.9,8,1,4.6,8,1,0,1,8,1
2020/1/10,-2.7,8,1,0,1,8,1,晴,8,1,1.1,8,1,-5.8,8,1,8,0,8,1,9.1,8,1,0.0,0,8,1,晴後一時曇,8,1,13.2,8,1,6.1,8,1,0,1,8,1,5.8,8,1,0.0,8,1,,0,1,12.3,8,1,0.9,8,1,0,8,1,18.0,8,1,0.0,0,8,1,晴時々曇,8,1,21.1,8,1,15.1,8,1,0,1,8,1,8.4,8,1,0.0,0,8,1,晴,8,1,12.6,8,1,5.5,8,1,0,1,8,1
2020/1/11,-1.6,8,1,0.0,0,8,1,曇時々雪後晴,8,1,3.2,8,1,-4.9,8,1,8,0,8,1,7.9,8,1,0,1,8,1,薄曇後晴,8,1,12.3,8,1,4.2,8,1,0,1,8,1,5.2,8,1,0.0,8,1,,0,1,11.9,8,1,0.0,8,1,0,8,1,19.8,8,1,1.0,0,8,1,晴一時曇,8,1,23.3,8,1,14.7,8,1,0,1,8,1,7.0,8,1,0,1,8,1,曇後晴,8,1,10.5,8,1,5.2,8,1,0,1,8,1
2020/1/12,-1.3,8,1,0.0,0,8,1,曇後雪,8,1,1.1,8,1,-4.1,8,1,8,0,8,1,8.4,8,1,0.0,0,8,1,曇,8,1,10.7,8,1,5.8,8,1,0,1,8,1,5.4,8,1,0.5,8,1,,0,1,7.0,8,1,4.1,8,1,0,8,1,19.0,8,1,0.0,0,8,1,曇時々晴一時雨,8,1,21.2,8,1,16.9,8,1,0,1,8,1,6.7,8,1,0.0,0,8,1,曇後一時雨,8,1,10.2,8,1,2.5,8,1,0,1,8,1
2020/1/13,-2.5,8,1,0.0,0,8,1,曇時々晴,8,1,0.7,8,1,-5.2,8,1,8,0,8,1,9.1,8,1,0,1,8,1,晴,8,1,11.6,8,1,7.1,8,1,0,1,8,1,4.1,8,1,0.0,8,1,,0,1,7.1,8,1,-0.1,8,1,0,8,1,17.5,8,1,0.0,0,8,1,曇時々晴,8,1,19.7,8,1,15.4,8,1,0,1,8,1,8.5,8,1,0,1,8,1,快晴,8,1,13.7,8,1,4.6,8,1,0,1,8,1
2020/1/14,-2.7,8,1,0.0,0,8,1,曇一時晴後時々雪,8,1,0.1,8,1,-5.0,8,1,8,0,8,1,7.4,8,1,1.0,0,8,1,晴後曇時々雨,8,1,11.0,8,1,4.0,8,1,0,1,8,1,1.2,8,1,2.0,8,1,,0,1,3.6,8,1,-1.8,8,1,0,8,1,19.1,8,1,1.0,0,8,1,晴,8,1,22.6,8,1,16.1,8,1,0,1,8,1,8.4,8,1,0,1,8,1,晴後一時曇,8,1,13.5,8,1,4.7,8,1,0,1,8,1
2020/1/15,-3.4,8,1,1.0,0,8,1,雪一時曇,8,1,-2.0,8,1,-5.1,8,1,16,0,8,1,7.1,8,1,1.0,0,8,1,曇一時晴後時々雨,8,1,9.2,8,1,5.7,8,1,0,1,8,1,1.9,8,1,0.0,8,1,,0,1,5.7,8,1,-2.7,8,1,0,8,1,18.2,8,1,0.0,0,8,1,晴時々曇,8,1,21.4,8,1,16.4,8,1,0,1,8,1,6.8,8,1,15.0,0,8,1,雨一時晴,8,1,9.4,8,1,4.9,8,1,0,1,8,1
2020/1/16,-2.9,8,1,1.5,0,8,1,晴後一時曇,8,1,-0.6,8,1,-6.6,8,1,20,0,8,1,6.5,8,1,0,1,8,1,曇一時晴,8,1,10.0,8,1,3.2,8,1,0,1,8,1,2.8,8,1,0.0,8,1,,0,1,8.0,8,1,-0.9,8,1,0,8,1,20.5,8,1,13.5,0,8,1,晴後時々雨,8,1,23.8,8,1,17.7,8,1,0,1,8,1,6.7,8,1,0,1,8,1,曇時々晴,8,1,10.9,8,1,3.9,8,1,0,1,8,1
2020/1/17,-2.7,8,1,0.0,0,8,1,晴一時雪,8,1,-0.2,8,1,-4.7,8,1,14,0,8,1,6.9,8,1,0.0,0,8,1,曇,8,1,9.8,8,1,4.9,8,1,0,1,8,1,5.6,8,1,0.5,8,1,,0,1,10.6,8,1,2.5,8,1,0,8,1,19.3,8,1,2.5,0,8,1,雨時々曇一時晴,8,1,22.1,8,1,16.7,8,1,0,1,8,1,7.3,8,1,0.0,0,8,1,曇,8,1,11.1,8,1,3.9,8,1,0,1,8,1
2020/1/18,-3.7,8,1,0,1,8,1,曇後晴,8,1,-0.6,8,1,-7.2,8,1,12,0,8,1,8.0,8,1,0.5,0,8,1,晴一時曇,8,1,12.0,8,1,5.1,8,1,0,1,8,1,4.7,8,1,0.0,8,1,,0,1,9.5,8,1,0.1,8,1,0,8,1,16.3,8,1,0.0,0,8,1,曇,8,1,17.2,8,1,15.7,8,1,0,1,8,1,3.8,8,1,8.5,0,8,1,雨時々みぞれ一時雪,8,1,7.2,8,1,1.5,8,1,0,1,8,1
2020/1/19,-3.2,8,1,0,1,8,1,薄曇時々晴,8,1,0.3,8,1,-8.8,8,1,10,0,8,1,8.0,8,1,0.0,0,8,1,晴後曇,8,1,10.9,8,1,3.2,8,1,0,1,8,1,3.5,8,1,0.0,8,1,,0,1,8.1,8,1,-1.3,8,1,0,8,1,16.4,8,1,0.0,0,8,1,曇,8,1,18.9,8,1,13.5,8,1,0,1,8,1,6.5,8,1,0.0,0,8,1,晴後一時曇,8,1,11.1,8,1,1.9,8,1,0,1,8,1
2020/1/20,-0.8,8,1,14.0,0,8,1,雪,8,1,1.1,8,1,-2.4,8,1,35,0,8,1,9.8,8,1,0,1,8,1,晴時々曇,8,1,12.7,8,1,7.7,8,1,0,1,8,1,6.0,8,1,0.0,8,1,,0,1,7.5,8,1,4.1,8,1,0,8,1,16.9,8,1,0.0,0,8,1,曇,8,1,18.8,8,1,15.2,8,1,0,1,8,1,7.5,8,1,0,1,8,1,快晴,8,1,14.1,8,1,2.0,8,1,0,1,8,1
2020/1/21,-2.2,8,1,6.0,0,8,1,雪一時曇、あられを伴う,8,1,0.0,8,1,-3.2,8,1,39,0,8,1,8.0,8,1,0.0,0,8,1,晴後一時曇,8,1,11.3,8,1,4.9,8,1,0,1,8,1,4.5,8,1,0.0,8,1,,0,1,11.9,8,1,-0.9,8,1,0,8,1,17.6,8,1,0.0,0,8,1,晴,8,1,20.6,8,1,15.1,8,1,0,1,8,1,7.4,8,1,0,1,8,1,快晴,8,1,11.8,8,1,3.9,8,1,0,1,8,1
2020/1/22,0.1,8,1,0.5,0,8,1,曇時々晴,8,1,3.8,8,1,-5.5,8,1,34,0,8,1,7.0,8,1,1.5,0,8,1,曇一時晴,8,1,11.0,8,1,2.5,8,1,0,1,8,1,5.8,8,1,3.5,8,1,,0,1,11.0,8,1,-1.2,8,1,0,8,1,19.2,8,1,0,1,8,1,薄曇時々晴,8,1,23.0,8,1,15.1,8,1,0,1,8,1,4.9,8,1,0.0,0,8,1,曇後一時晴,8,1,7.3,8,1,2.0,8,1,0,1,8,1
2020/1/23,0.3,8,1,0.5,0,8,1,晴,8,1,3.0,8,1,-4.6,8,1,28,0,8,1,9.4,8,1,27.0,0,8,1,曇時々雨,8,1,11.7,8,1,6.7,8,1,0,1,8,1,14.0,8,1,25.0,8,1,,0,1,17.7,8,1,10.4,8,1,0,8,1,20.8,8,1,0,1,8,1,薄曇,8,1,24.7,8,1,17.5,8,1,0,1,8,1,6.1,8,1,2.5,0,8,1,雨,8,1,8.7,8,1,4.1,8,1,0,1,8,1
2020/1/24,-3.9,8,1,2.5,0,8,1,雪後時々曇,8,1,-0.5,8,1,-6.4,8,1,30,0,8,1,11.1,8,1,0.0,0,8,1,曇,8,1,14.5,8,1,8.5,8,1,0,1,8,1,11.9,8,1,0.0,8,1,,0,1,14.1,8,1,10.4,8,1,0,8,1,21.7,8,1,0.0,0,8,1,晴後時々薄曇,8,1,25.8,8,1,17.9,8,1,0,1,8,1,9.9,8,1,0,1,8,1,曇,8,1,13.4,8,1,7.4,8,1,0,1,8,1
2020/1/25,-5.4,8,1,4.5,0,8,1,雪時々晴一時曇,8,1,-3.2,8,1,-7.1,8,1,34,0,8,1,8.0,8,1,0,1,8,1,曇時々晴,8,1,10.8,8,1,6.3,8,1,0,1,8,1,7.8,8,1,28.0,8,1,,0,1,10.6,8,1,6.1,8,1,0,8,1,23.1,8,1,0,1,8,1,晴時々曇,8,1,27.0,8,1,20.6,8,1,0,1,8,1,7.8,8,1,0,1,8,1,曇,8,1,10.2,8,1,5.9,8,1,0,1,8,1
2020/1/26,-5.0,8,1,1.5,0,8,1,雪一時曇後晴,8,1,-1.4,8,1,-7.9,8,1,33,0,8,1,8.8,8,1,1.5,0,8,1,曇,8,1,12.5,8,1,5.8,8,1,0,1,8,1,7.3,8,1,7.5,8,1,,0,1,9.4,8,1,6.1,8,1,0,8,1,22.5,8,1,2.0,0,8,1,曇時々雨,8,1,23.5,8,1,21.7,8,1,0,1,8,1,5.0,8,1,6.0,0,8,1,雨後曇,8,1,7.6,8,1,2.7,8,1,0,1,8,1
2020/1/27,-1.0,8,1,0.0,0,8,1,晴時々曇一時雪,8,1,1.7,8,1,-5.6,8,1,29,0,8,1,8.6,8,1,5.0,0,8,1,雨,8,1,10.3,8,1,7.0,8,1,0,1,8,1,9.2,8,1,17.0,8,1,,0,1,15.1,8,1,6.4,8,1,0,8,1,21.2,8,1,2.5,0,8,1,曇時々晴,8,1,23.5,8,1,19.2,8,1,0,1,8,1,5.1,8,1,5.0,0,8,1,曇,8,1,6.5,8,1,2.9,8,1,0,1,8,1
2020/1/28,-2.0,8,1,0,1,8,1,薄曇一時晴,8,1,2.9,8,1,-8.1,8,1,26,0,8,1,13.0,8,1,0.0,0,8,1,晴後曇,8,1,19.1,8,1,9.1,8,1,0,1,8,1,8.3,8,1,0.5,8,1,,0,1,10.7,8,1,6.3,8,1,0,8,1,18.0,8,1,0.0,0,8,1,曇,8,1,19.4,8,1,16.7,8,1,0,1,8,1,4.4,8,1,55.5,0,8,1,雨,8,1,7.0,8,1,0.6,8,1,0,1,8,1
2020/1/29,0.4,8,1,5.0,0,8,1,雪後みぞれ,8,1,2.1,8,1,-2.7,8,1,28,0,8,1,11.5,8,1,4.5,0,8,1,曇後一時晴,8,1,14.8,8,1,9.1,8,1,0,1,8,1,7.6,8,1,0.0,8,1,,0,1,11.3,8,1,4.0,8,1,0,8,1,16.4,8,1,1.0,0,8,1,曇時々雨,8,1,17.7,8,1,15.0,8,1,0,1,8,1,11.8,8,1,28.0,0,8,1,晴一時雨,8,1,18.6,8,1,6.9,8,1,0,1,8,1
2020/1/30,2.5,8,1,1.0,0,8,1,みぞれ後一時雪,8,1,3.9,8,1,1.1,8,1,26,0,8,1,9.0,8,1,0.0,0,8,1,晴後一時曇,8,1,12.7,8,1,7.0,8,1,0,1,8,1,6.1,8,1,0.0,8,1,,0,1,9.5,8,1,3.0,8,1,0,8,1,14.8,8,1,0.0,0,8,1,曇時々晴,8,1,16.8,8,1,12.9,8,1,0,1,8,1,11.7,8,1,0,1,8,1,晴,8,1,17.5,8,1,6.8,8,1,0,1,8,1
2020/1/31,1.2,8,1,2.0,0,8,1,雪時々曇,8,1,2.5,8,1,-1.0,8,1,25,0,8,1,6.6,8,1,0.0,0,8,1,曇一時雨後晴、あられを伴う,8,1,8.8,8,1,5.3,8,1,0,1,8,1,4.3,8,1,0.0,8,1,,0,1,8.1,8,1,0.7,8,1,0,8,1,14.5,8,1,0.5,0,8,1,晴時々曇一時雨,8,1,17.2,8,1,12.5,8,1,0,1,8,1,8.1,8,1,0,1,8,1,晴,8,1,12.1,8,1,3.5,8,1,0,1,8,1
2020/2/1,-1.2,8,1,0,1,8,1,曇,8,1,0.9,8,1,-2.3,8,1,24,0,8,1,6.9,8,1,0,1,8,1,曇後晴,8,1,10.5,8,1,4.6,8,1,0,1,8,1,3.7,8,1,0.0,8,1,,0,1,9.1,8,1,-1.2,8,1,0,8,1,15.8,8,1,0.0,0,8,1,晴一時曇,8,1,18.4,8,1,13.6,8,1,0,1,8,1,7.9,8,1,0,1,8,1,快晴,8,1,13.4,8,1,3.0,8,1,0,1,8,1
2020/2/2,-1.7,8,1,0.0,0,8,1,雪時々曇一時晴,8,1,0.4,8,1,-3.1,8,1,23,0,8,1,7.7,8,1,0,1,8,1,晴一時曇,8,1,11.9,8,1,3.2,8,1,0,1,8,1,3.1,8,1,0.0,8,1,,0,1,10.5,8,1,-3.0,8,1,0,8,1,15.6,8,1,1.5,0,8,1,晴,8,1,20.2,8,1,11.8,8,1,0,1,8,1,8.7,8,1,0,1,8,1,晴,8,1,13.8,8,1,5.0,8,1,0,1,8,1
2020/2/3,-3.1,8,1,8.0,0,8,1,曇後雪,8,1,-1.0,8,1,-5.0,8,1,37,0,8,1,8.3,8,1,0,1,8,1,薄曇,8,1,12.7,8,1,3.9,8,1,0,1,8,1,4.1,8,1,0.0,8,1,,0,1,9.9,8,1,-0.6,8,1,0,8,1,16.8,8,1,0,1,8,1,晴,8,1,21.0,8,1,12.6,8,1,0,1,8,1,9.3,8,1,0.0,0,8,1,晴時々曇,8,1,15.2,8,1,5.3,8,1,0,1,8,1
2020/2/4,-5.1,8,1,6.5,0,8,1,晴後時々雪,8,1,-3.1,8,1,-7.2,8,1,48,0,8,1,7.8,8,1,0,1,8,1,晴,8,1,11.4,8,1,4.2,8,1,0,1,8,1,2.7,8,1,0.0,8,1,,0,1,11.5,8,1,-3.4,8,1,0,8,1,19.1,8,1,1.0,0,8,1,晴後曇,8,1,23.3,8,1,16.0,8,1,0,1,8,1,7.9,8,1,0.0,0,8,1,曇時々晴,8,1,11.4,8,1,4.8,8,1,0,1,8,1
2020/2/5,-6.8,8,1,26.0,0,8,1,曇後雪,8,1,-4.6,8,1,-8.1,8,1,79,0,8,1,6.9,8,1,0.0,0,8,1,晴後時々曇,8,1,12.2,8,1,3.0,8,1,0,1,8,1,1.7,8,1,0.0,8,1,,0,1,8.1,8,1,-3.4,8,1,0,8,1,17.3,8,1,0.0,0,8,1,曇,8,1,19.6,8,1,15.5,8,1,0,1,8,1,7.6,8,1,0,1,8,1,晴,8,1,15.2,8,1,2.4,8,1,0,1,8,1
2020/2/6,-7.2,8,1,5.5,0,8,1,雪時々曇,8,1,-4.5,8,1,-10.5,8,1,79,0,8,1,3.3,8,1,0,1,8,1,晴,8,1,6.9,8,1,0.7,8,1,0,1,8,1,1.7,8,1,0.0,8,1,,0,1,8.3,8,1,-4.8,8,1,0,8,1,16.5,8,1,0,1,8,1,晴,8,1,19.4,8,1,14.3,8,1,0,1,8,1,2.9,8,1,0,1,8,1,快晴,8,1,6.9,8,1,-0.4,8,1,0,1,8,1
2020/2/7,-4.3,8,1,4.0,0,8,1,雪後曇,8,1,-1.5,8,1,-7.2,8,1,64,0,8,1,3.4,8,1,0,1,8,1,曇,8,1,6.9,8,1,-0.1,8,1,0,1,8,1,2.1,8,1,9.5,8,1,,0,1,3.6,8,1,1.1,8,1,0,8,1,20.3,8,1,0.0,0,8,1,曇後雨時々晴,8,1,22.5,8,1,17.3,8,1,0,1,8,1,2.4,8,1,0,1,8,1,薄曇時々晴,8,1,6.9,8,1,-2.1,8,1,0,1,8,1
2020/2/8,-6.8,8,1,3.0,0,8,1,曇時々晴一時雪,8,1,-4.8,8,1,-11.5,8,1,68,0,8,1,6.6,8,1,0.0,0,8,1,晴時々曇,8,1,11.0,8,1,2.9,8,1,0,1,8,1,3.5,8,1,0.0,8,1,,0,1,7.8,8,1,-0.3,8,1,0,8,1,17.9,8,1,0.5,0,8,1,曇時々晴一時雨,8,1,19.7,8,1,16.3,8,1,0,1,8,1,6.2,8,1,0.0,0,8,1,晴時々曇,8,1,12.7,8,1,0.7,8,1,0,1,8,1
2020/2/9,-10.2,8,1,8.5,0,8,1,曇時々晴後一時雪,8,1,-7.7,8,1,-14.9,8,1,71,0,8,1,4.1,8,1,0.0,0,8,1,晴一時曇,8,1,7.4,8,1,1.9,8,1,0,1,8,1,3.0,8,1,0.0,8,1,,0,1,7.0,8,1,-1.1,8,1,0,8,1,16.0,8,1,0.0,0,8,1,曇時々晴一時雨,8,1,17.9,8,1,15.1,8,1,0,1,8,1,3.9,8,1,0,1,8,1,快晴,8,1,8.3,8,1,1.2,8,1,0,1,8,1
2020/2/10,-5.7,8,1,5.0,0,8,1,雪時々曇,8,1,-2.8,8,1,-9.8,8,1,72,0,8,1,4.8,8,1,0.0,0,8,1,曇時々晴後一時雨,8,1,10.1,8,1,0.2,8,1,0,1,8,1,5.4,8,1,0.0,8,1,,0,1,9.2,8,1,1.7,8,1,0,8,1,16.0,8,1,0,1,8,1,曇時々晴,8,1,18.8,8,1,14.2,8,1,0,1,8,1,4.6,8,1,0,1,8,1,晴一時曇,8,1,10.1,8,1,-0.2,8,1,0,1,8,1
2020/2/11,-3.3,8,1,1.5,0,8,1,雪時々曇後晴,8,1,0.5,8,1,-6.4,8,1,69,0,8,1,7.3,8,1,0,1,8,1,晴,8,1,12.3,8,1,4.0,8,1,0,1,8,1,5.5,8,1,0.0,8,1,,0,1,13.6,8,1,-2.6,8,1,0,8,1,17.2,8,1,0,1,8,1,薄曇,8,1,20.9,8,1,13.2,8,1,0,1,8,1,6.3,8,1,0,1,8,1,快晴,8,1,11.7,8,1,1.1,8,1,0,1,8,1
